"Buffer","Model","AUC","Sensitivity","Specificity","Accuracy","Kappa","N","Presences","Absences"
"2km","GLM",0.716,0.956,0.257,0.796,0.279,1493,347,1146
"2km","Random forest",0.838,0.987,0.245,0.814,0.307,1493,347,1146
"5km","GLM",0.665,0.948,0.248,0.778,0.215,1490,347,1143
"5km","Random forest",0.798,0.978,0.236,0.797,0.241,1490,347,1143
"10km","GLM",0.716,0.937,0.254,0.779,0.229,1484,343,1141
"10km","Random forest",0.838,0.969,0.302,0.811,0.319,1484,343,1141
"15km","GLM",0.647,0.946,0.222,0.788,0.249,1472,337,1135
"15km","Random forest",0.782,0.972,0.215,0.806,0.282,1472,337,1135
"20km","GLM",0.748,0.942,0.289,0.786,0.26,1462,335,1127
"20km","Random forest",0.8,0.975,0.213,0.796,0.233,1462,335,1127
"25km","GLM",0.727,0.949,0.297,0.797,0.28,1455,335,1120
"25km","Random forest",0.807,0.972,0.261,0.804,0.285,1455,335,1120
